Name,NameCH,Link,Image,Calories,Ingredients,Sweetness,Temp,Size,PrepTime,Almond Flakes,Almond Pudding,Almond Soup,Black Sugar Boba,Boba,Caramel Pudding,Coco Mochi,Coco Sago Soup,Coconut Milk,Condensed Milk,Crystal Mochi,Grass Jelly,Hot Red Bean Soup,Ice Cream,Mango,Mango Syrup,Melon Jelly,Milk Tea Sauce,Mini Q,Peanuts,Potaro Balls,Purple Rice Soup,Q Mochi,Red Bean Soup,Red Beans,Rice Balls,Sago,Sesame Rice Balls,Shaved Ice,Strawberry,Strawberry Syrup,Taro,Taro Balls,Taro Paste
Icy Taro Ball Signature,招牌冰芋圆,https://www.meetfresh.us/icy-taro-ball-signature/,https://meetfresh.us/wp-content/uploads/2022/10/icy-taro-ball-Signature.png,694,"Taro Balls, Taro Paste, Potaro Balls, Boba, Shaved Ice",Medium,Icy,One Size,4 - 6 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Icy Grass Jelly Signature ,招牌冰仙草,https://www.meetfresh.us/icy-grass-jelly-signature/,https://meetfresh.us/wp-content/uploads/2019/10/Signature-Icy-Grass-Jelly.png,420,"Taro Balls, Grass Jelly Shaved Ice, Grass Jelly",Medium,Icy,One Size,4 - 6 min,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Double Taro Signature,双芋招牌,https://meetfresh.us/double-taro-signature-2/,https://meetfresh.us/wp-content/uploads/2023/01/雙芋招牌-1.png,586,"Taro Balls, Taro Paste, Ice Cream, Grass Jelly Shaved Ice, Grass Jelly",High,Icy,One Size,1 - 3 min,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Hot Red Bean Soup Signature ,招牌热红豆汤,https://www.meetfresh.us/hot-red-bean-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/04-Hot-Red-Bean-Soup-Signature-2024.png,1135,"Taro Balls, Sesame Rice Balls, Taro, Red Beans, Boba, Red Bean Soup",Low,Hot,One Size,7 - 9 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0
Hot Grass Jelly Signature,招牌热烧仙草,https://www.meetfresh.us/hot-grass-jelly-soup-signature/,https://meetfresh.us/wp-content/uploads/2021/04/Hot-Grass-Jelly-Signature-trasparent.png,944,"Mini Q, Red Beans, Boba, Grass Jelly Soup *Hot Grass Jelly is liquid",Medium,Hot,One Size,4 - 6 min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Cold Coco Sago Soup Signature,招牌冷可可西米露,https://meetfresh.us/cold-coco-sago-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/01-Cold-Coco-Sago-Signature-2024.png,1465,"Mini Q, Taro, Boba, Coco Mochi, Sago, Coco Sago Soup",High,Icy,One Size,10 min or above,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Hot Coco Sago Soup Signature,招牌热可可西米露,,https://meetfresh.us/wp-content/uploads/2025/02/01-Hot-Coco-Sago-Signature.jpg,1620,"Mini Q, Taro, Boba, Coco Mochi, Sago, Coco Sago Soup",High,Hot,One Size,1 - 3 min,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Hot Almond Soup Signature ,招牌杏仁烧,https://www.meetfresh.us/hot-almond-soup-signature/,https://meetfresh.us/wp-content/uploads/2025/02/01-Hot-Coco-Sago-Signature.jpg,965,"Mini Q, Red Beans,  Boba, Almond Flakes, Almond Soup",Medium,Hot,One Size,4 - 6 min,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Icy Taro Ball Combo A ,冰芋圆A,https://www.meetfresh.us/?page_id=4943&preview=true,https://meetfresh.us/wp-content/uploads/2019/10/356a4444-8cf0-45a9-8c66-2d0b7733fb30.png,988,"Taro Balls, Red Beans, Peanuts, Boba, Shaved Ice",High,Icy,One Size,1 - 3 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0
Icy Taro Ball Combo B,冰芋圆B,https://meetfresh.us/icy-taro-ball-combo-b/,https://meetfresh.us/wp-content/uploads/2025/02/02-Icy-Taro-Ball-B-2024.png,828,"Taro Balls, Taro, Red Beans, Boba, Shaved Ice",High,Icy,One Size,1 - 3 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0
Icy Taro Ball Combo C ,冰芋圆C,https://www.meetfresh.us/?page_id=5009&preview=true,https://meetfresh.us/wp-content/uploads/2021/02/Icy-Taro-Ball-Combo-C-冰芋圓C.png,714,"Taro Balls, Melon Jelly, Rice Balls, Boba, Shaved Ice",High,Icy,One Size,7 - 9 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Icy Grass Jelly Combo A ,冰仙草A,https://www.meetfresh.us/icy-grass-jelly-combo-a,https://meetfresh.us/wp-content/uploads/2019/10/5f05f890-b2dc-42ff-9496-5e2a2ffc417f.png,702,"Grass Jelly, Red Beans, Peanuts, Boba, Grass Jelly Shaved Ice",Medium,Icy,One Size,7 - 9 min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Icy Grass Jelly Combo B,冰仙草B,https://www.meetfresh.us/icy-grass-jelly-combo-b,https://meetfresh.us/wp-content/uploads/2019/10/408f0de5-342a-4325-9e0c-26924b7321ee.png,542,"Grass Jelly, Taro, Red Beans, Boba, Grass Jelly Shaved Ice",Medium,Icy,One Size,7 - 9 min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Icy Grass Jelly Combo C,冰仙草C,https://www.meetfresh.us/icy-grass-jelly-combo-c,https://meetfresh.us/wp-content/uploads/2025/02/06-Icy-Grass-Jelly-C.png,428,"Grass Jelly, Melon Jelly, Rice Balls, Boba, Grass Jelly Shaved Ice",Medium,Icy,One Size,4 - 6 min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hot Grass Jelly Soup Combo A ,热烧仙草A,https://www.meetfresh.us/hot-grass-jelly-soup-combo-a,https://meetfresh.us/wp-content/uploads/2019/10/93b487fd-24ce-4f9d-baf3-d39019f8d202.png,880,"Mini Q, Red Beans, Peanuts, Boba, Grass Jelly Soup *Hot Grass Jelly is liquid",Medium,Hot,One Size,4 - 6 min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Hot Grass Jelly Soup Combo B ,热烧仙草B,https://www.meetfresh.us/hot-grass-jelly-soup-combo-b,https://meetfresh.us/wp-content/uploads/2019/10/3b45baa9-26e6-436b-93d0-9b1c15fcaea7.png,720,"Mini Q, Taro, Red Beans,  Boba, Grass Jelly Soup *Hot Grass Jelly is liquid",Medium,Hot,One Size,4 - 6 min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Hot Grass Jelly Soup Combo C ,热烧仙草C,https://www.meetfresh.us/hot-grass-jelly-soup-combo-c,https://meetfresh.us/wp-content/uploads/2025/02/12-Hot-Grass-Jelly-soup-C.png,606,"Mini Q, Melon Jelly, Rice Balls, Boba, Grass Jelly Soup *Hot Grass Jelly is liquid",Medium,Hot,One Size,7 - 9 min,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Hot Red Bean Soup Combo A ,热红豆汤A,https://www.meetfresh.us/hot-red-bean-soup-combo-a,https://meetfresh.us/wp-content/uploads/2025/02/07-Hot-Red-Bean-soup-A.png,1409,"Taro Balls, Red Beans, Peanuts,  Boba, Red Bean Soup",Low,Hot,One Size,1 - 3 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0
Hot Red Bean Soup Combo B,热红豆汤B,https://www.meetfresh.us/hot-red-bean-soup-combo-b,https://meetfresh.us/wp-content/uploads/2025/02/08-Hot-Red-Bean-soup-B.png,1249,"Taro Balls, Taro, Red Beans, Boba, Red Bean Soup",Low,Hot,One Size,1 - 3 min,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0
Hot Red Bean Soup Combo C,热红豆汤C,https://www.meetfresh.us/hot-red-bean-soup-combo-c,https://meetfresh.us/wp-content/uploads/2025/02/09-Hot-Red-Bean-soup-C.png,1135,"Taro Balls, Red Beans, Melon Jelly, Rice Balls, Boba, Hot Red Bean Soup",Low,Hot,One Size,4 - 6 min,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
Hot Almond Soup Combo A ,杏仁烧A,https://www.meetfresh.us/hot-almond-soup-combo-a,https://meetfresh.us/wp-content/uploads/2019/10/37e154fc-45ab-459b-94bc-0427e40c7a49.png,906,"Taro Balls, Red Beans, Peanuts,  Boba, Almond Flakes, Almond Soup",Medium,Hot,One Size,7 - 9 min,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Hot Almond Soup Combo B ,杏仁烧B,https://www.meetfresh.us/hot-almond-soup-combo-b,https://meetfresh.us/wp-content/uploads/2019/10/130d2190-c3c2-4acb-b2f4-d97653555cec.png,746,"Taro Balls, Taro, Red Beans, Boba, Almond Flakes, Almond Soup",Medium,Hot,One Size,1 - 3 min,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
Hot Almond Soup Combo C,杏仁烧C,https://www.meetfresh.us/hot-almond-soup-combo-c,https://meetfresh.us/wp-content/uploads/2021/04/Hot-Almond-Soup-Combo-C-transparent.png,632,"Taro Balls, Melon Jelly, Rice Balls, Boba, Almond Flakes, Almond Soup",Medium,Hot,One Size,1 - 3 min,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Cold Coco Sago Soup A,冷可可西米露A,https://meetfresh.us/cold-coco-sago-soup-combo-a/,https://meetfresh.us/wp-content/uploads/2023/04/Cold-Coco-Sago-A.png,1025,"Red Beans, Peanuts, Sago, Mini Q, Coconut Milk",High,Icy,One Size,1 - 3 min,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Cold Coco Sago Soup Combo B ,冷可可西米露B,https://meetfresh.us/cold-coco-sago-soup-combo-b/,https://meetfresh.us/wp-content/uploads/2023/04/Cold-Coco-Sago-B.png,940,"Red Beans, Taro, Sago, Mini Q, Coconut Milk",High,Icy,One Size,7 - 9 min,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
Cold Coco Sago Soup Combo C,冷可可西米露C,https://meetfresh.us/cold-coco-sago-soup-combo-c/,https://meetfresh.us/wp-content/uploads/2023/04/Cold-Coco-Sago-C.png,995,"Rice Balls, Melon Jelly, Sago, Mini Q, Coconut Milk",High,Icy,One Size,1 - 3 min,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Cold Purple Rice Soup Signature ,招牌冷紫米汤,https://www.meetfresh.us/cold-purple-rice-soup-signature/,https://meetfresh.us/wp-content/uploads/2021/03/Cold-Purple-Rice-Soup-Signature.jpg,632,"Taro Paste, Potaro (Sweet Potato Taro) Balls, Rice Balls, Purple Rice Soup",Low,Icy,One Size,4 - 6 min,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1
